group,n_features,auc_mean,auc_median,auc_max,ks_mean,ks_median,d_mean,pct_auc_ge_0.55
A,12,0.5587179224819487,0.5150174525302409,0.7660340874028396,0.17437535521838288,0.13340383743767936,0.18913646326308398,0.25
D,6,0.5383396006868512,0.5351482075677529,0.5893923123789374,0.14063050813315206,0.17934301685623638,0.11578613970272122,0.5
C,3,0.5333963472206993,0.5215571219584052,0.6077812681064516,0.19750501802171236,0.1980014244706796,0.20948711054529637,0.3333333333333333
B,10,0.5196324134512348,0.5116019138668005,0.6491578737767068,0.1256080978999849,0.10474176073209157,0.07527148205696488,0.2
E,4,0.49537586601342454,0.4959909783523623,0.4969352297498543,0.009248267973150898,0.008018043295275501,-0.10084464914847481,0.0
