feature,group,mean_benign,median_benign,std_benign,iqr_benign,mean_phish,median_phish,std_phish,iqr_phish,cohens_d,ks_stat,single_feature_auc
num_subdomains,A,0.2698076964582479,0.0,0.9632727855507136,0.0,0.7908402218720998,1.0,0.571483141511758,1.0,0.6578728856544767,0.5425290829430427,0.7660340874028396
num_dots,A,1.330671443679451,1.0,0.9988098891394944,0.0,1.8103727364945073,2.0,0.5720852421142663,1.0,0.5893715995323577,0.5018669199058987,0.7459299581172003
upper_ratio_pq,B,0.03414767964799336,0.0,0.07697736546689947,0.028169014084507,0.13095543051294514,0.0,0.16312789089454052,0.2582781456953642,0.7589914253246507,0.3414197224440464,0.6491578737767068
entropy_full,C,4.150779821987836,4.162057815120259,0.41845128049248664,0.5978508968240677,4.427478917241073,4.202819531114783,0.5790100967552942,0.7653665858523251,0.5477497877697344,0.1980014244706796,0.6077812681064516
digit_ratio,B,0.05184262485730431,0.0,0.08084441686773765,0.0833333333333333,0.08075559373923324,0.0476190476190476,0.0999539391989241,0.1101694915254237,0.31806150862285304,0.2126562061597565,0.6030749796978045
host_len,A,15.823149806833143,14.0,11.41819860170561,7.0,19.73144411110871,16.0,12.915952129733817,14.0,0.320608699692139,0.23844775861696854,0.5910089764196695
avg_token_len,D,5.752176903580487,5.333333333333333,2.274231111868207,1.6333333333333329,6.578766412247501,6.142857142857143,6.6087773033738495,3.2142857142857144,0.16725400240195104,0.2317354801113678,0.5893923123789374
max_token_len,D,13.099540284462478,10.0,13.165078637782258,6.0,20.83132972179656,12.0,69.57782059976647,18.0,0.1544120434698506,0.2316059827768545,0.5764028769951556
brand_keyword_present,D,0.04594997086309974,0.0,0.20937662486719957,0.0,0.173030021798718,0.0,0.3782732257972446,0.0,0.4156704126248301,0.12708005093561825,0.5635400254678091
count_equal,B,0.25310254030604534,0.0,0.8911208431074339,0.0,0.6064144346362204,0.0,1.6101126314612622,0.0,0.271512134243791,0.11249001791379798,0.5444428493125442
query_len,A,6.232749875898388,0.0,26.991878426469757,0.0,13.327649839207476,0.0,52.42203110044298,0.0,0.1701677662299535,0.1246627673580385,0.543534101751294
has_query,A,0.13264843631968576,0.0,0.3391943818249766,0.0,0.21196555370901948,0.0,0.40870057224066647,0.0,0.21119526070972644,0.07931711738933378,0.5396585586946668
count_question,B,0.14108734595212916,0.0,0.38187611354992085,0.0,0.21861308354736364,0.0,0.43294367745139484,0.0,0.18991460818054998,0.07948978050201805,0.5392394191563215
url_len,A,53.5916733213908,43.0,42.66891040776338,42.0,65.93128008115167,40.0,181.3657148580465,48.0,0.09366089645372917,0.14214490751732026,0.5261823593587143
