split,regime,model,seed,threshold_best_f1,roc_auc,pr_auc,precision,recall,f1,accuracy,balanced_accuracy,specificity,fpr,fnr,tp,fp,tn,fn,feature_extraction_ms_per_url,inference_ms_per_url,end_to_end_ms_per_url,model_size_mb,vectorizer_size_mb
random,AE,lr,42,0.666523193043767,0.9912759898555976,0.992331046009351,0.9967339667458432,0.966043165467626,0.9811486190267428,0.9814388489208632,0.9814388489208632,0.9968345323741008,0.0031654676258992,0.0339568345323741,6714,22,6928,236,,0.0008579499903135,0.0008579499903135,0.001051902770996,
random,AE,rf,42,0.47,0.9913917085037004,0.992506696335536,0.9590448625180896,0.9535251798561152,0.9562770562770564,0.9564028776978416,0.9564028776978416,0.9592805755395684,0.0407194244604316,0.0464748201438848,6627,283,6667,323,,0.3686927599948831,0.3686927599948831,240.40148258209229,
random,AE,hgb,42,0.4804412672435216,0.9914422959474148,0.9924853583086404,0.961929671607091,0.9525179856115108,0.9572006940427992,0.957410071942446,0.957410071942446,0.9623021582733812,0.0376978417266187,0.0474820143884892,6620,262,6688,330,,0.0767694300040602,0.0767694300040602,1.75579833984375,
random,ngrams,sgd,42,0.3444187346894215,0.9895370425961388,0.9911403766552545,0.9543610547667344,0.947769784172662,0.951053999422466,0.951223021582734,0.9512230215827338,0.9546762589928056,0.0453237410071942,0.0522302158273381,6587,315,6635,363,0.2610241399961523,0.0005965700023807,0.2616207099985331,0.3824987411499023,1.6180200576782229
etld1,AE,lr,42,0.2970518353910392,0.9795419253556352,0.9744318822738446,0.9809626436781608,0.9076105018278496,0.9428620749180044,0.9666196046793062,0.949968563495364,0.9923266251628784,0.0076733748371217,0.0923894981721502,2731,53,6854,278,,0.0008797700756942,0.0008797700756942,0.001051902770996,
etld1,AE,rf,42,0.4125,0.9465809174474548,0.8955326387411511,0.8093709884467266,0.838152210036557,0.8235102040816327,0.8909842678499394,0.8760762497989358,0.9140002895613146,0.0859997104386853,0.161847789963443,2522,594,6313,487,,0.4026391589351956,0.4026391589351956,234.0643548965454,
etld1,AE,hgb,42,0.3808170960351767,0.9561084855081972,0.9204499015910136,0.8554778554778555,0.8537720172814889,0.8546240851630074,0.9118596208148448,0.8954686060057364,0.937165194729984,0.0628348052700159,0.1462279827185111,2569,434,6473,440,,0.0890215207755373,0.0890215207755373,1.7555694580078125,
etld1,ngrams,sgd,42,0.3125071907103906,0.9530984768776534,0.9179422609858122,0.8047461700210273,0.8903290129611167,0.845377090564847,0.9011698265429609,0.8981107928566985,0.9058925727522803,0.0941074272477197,0.10967098703888335,2679,650,6257,330,0.2848935861224267,0.0006036405868981576,0.28549722670932487,0.38249874114990234,1.6178274154663086
